Generation,Mutation Rate,Food Regeneration Rate,Average Population,Average Entropy Ratio
0,0.0,0.0,20.0,0.8266903138034978
1,0.0,0.0,20.5,0.8222983989315509
2,0.0,0.0,53.75,0.8237971266846599
3,0.0,0.0,144.0,0.8257045597939714
4,0.0,0.0,382.0,0.8254363013660614
5,0.0,0.0,884.5,0.8245934018836223
6,0.0,0.0,1210.75,0.822124803369319
7,0.0,0.0,715.25,0.820024376858969
8,0.0,0.0,238.75,0.6124433175185233
9,0.0,0.0,146.75,0.6108054007159547
10,0.0,0.0,55.0,0.6092528861202989
11,0.0,0.0,27.5,0.6075250330595855
12,0.0,0.0,26.0,0.6071531475906478
13,0.0,0.0,27.75,0.6064465651996659
14,0.0,0.0,16.75,0.4098307909989841
15,0.0,0.0,5.5,0.409830790998984
16,0.0,0.0,3.75,0.409830790998984
17,0.0,0.0,3.25,0.409830790998984
18,0.0,0.0,6.5,0.20488702710746826
19,0.0,0.0,11.25,0.20488702710746817
20,0.0,0.0,16.0,0.20488702710746826
21,0.0,0.0,18.5,0.20488702710746828
22,0.0,0.0,31.0,0.20488702710746837
23,0.0,0.0,47.5,0.20488702710746767
24,0.0,0.0,28.0,0.2048870271074683
25,0.0,0.0,4.75,0.20488702710746823
26,0.0,0.0,3.0,0.20488702710746823
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0
106,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0
113,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0
121,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0
126,0.0,0.0,0.0,0.0
127,0.0,0.0,0.0,0.0
128,0.0,0.0,0.0,0.0
129,0.0,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0
131,0.0,0.0,0.0,0.0
132,0.0,0.0,0.0,0.0
133,0.0,0.0,0.0,0.0
134,0.0,0.0,0.0,0.0
135,0.0,0.0,0.0,0.0
136,0.0,0.0,0.0,0.0
137,0.0,0.0,0.0,0.0
138,0.0,0.0,0.0,0.0
139,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0
143,0.0,0.0,0.0,0.0
144,0.0,0.0,0.0,0.0
145,0.0,0.0,0.0,0.0
146,0.0,0.0,0.0,0.0
147,0.0,0.0,0.0,0.0
148,0.0,0.0,0.0,0.0
149,0.0,0.0,0.0,0.0
0,0.0,0.001,20.0,0.8245212304850154
1,0.0,0.001,21.0,0.8303124262603794
2,0.0,0.001,55.25,0.8290508487582592
3,0.0,0.001,127.0,0.826964780839288
4,0.0,0.001,312.0,0.8274429938268901
5,0.0,0.001,718.5,0.8280043539747857
6,0.0,0.001,1120.0,0.8279000683164858
7,0.0,0.001,752.5,0.8234025525930503
8,0.0,0.001,489.0,0.822357047797082
9,0.0,0.001,311.25,0.823829872494812
10,0.0,0.001,141.0,0.8246989622836537
11,0.0,0.001,58.75,0.8278143321906022
12,0.0,0.001,19.0,0.6189158969987751
13,0.0,0.001,14.25,0.4152643652101151
14,0.0,0.001,10.75,0.4168764619551877
15,0.0,0.001,19.5,0.2157197122274392
16,0.0,0.001,41.25,0.21681204921042355
17,0.0,0.001,62.25,0.21622327561229315
18,0.0,0.001,72.0,0.21736401414119663
19,0.0,0.001,11.25,0.21458149046034586
20,0.0,0.001,2.75,0.21514911571441195
21,0.0,0.001,1.75,0.21961943281695528
22,0.0,0.001,3.0,0.2196194328169554
23,0.0,0.001,5.5,0.21961943281695542
24,0.0,0.001,9.0,0.2196194328169553
25,0.0,0.001,15.5,0.2196194328169551
26,0.0,0.001,42.25,0.21961943281695487
27,0.0,0.001,119.75,0.2196194328169577
28,0.0,0.001,108.0,0.21961943281695737
29,0.0,0.001,10.75,0.21961943281695523
30,0.0,0.001,3.75,0.21961943281695542
31,0.0,0.001,0.5,0.21961943281695528
32,0.0,0.001,1.75,0.21961943281695528
33,0.0,0.001,0.75,0.21961943281695528
34,0.0,0.001,0.75,0.21961943281695528
35,0.0,0.001,1.0,0.21961943281695528
36,0.0,0.001,0.5,0.21961943281695528
37,0.0,0.001,0.0,0.0
38,0.0,0.001,0.0,0.0
39,0.0,0.001,0.0,0.0
40,0.0,0.001,0.0,0.0
41,0.0,0.001,0.0,0.0
42,0.0,0.001,0.0,0.0
43,0.0,0.001,0.0,0.0
44,0.0,0.001,0.0,0.0
45,0.0,0.001,0.0,0.0
46,0.0,0.001,0.0,0.0
47,0.0,0.001,0.0,0.0
48,0.0,0.001,0.0,0.0
49,0.0,0.001,0.0,0.0
50,0.0,0.001,0.0,0.0
51,0.0,0.001,0.0,0.0
52,0.0,0.001,0.0,0.0
53,0.0,0.001,0.0,0.0
54,0.0,0.001,0.0,0.0
55,0.0,0.001,0.0,0.0
56,0.0,0.001,0.0,0.0
57,0.0,0.001,0.0,0.0
58,0.0,0.001,0.0,0.0
59,0.0,0.001,0.0,0.0
60,0.0,0.001,0.0,0.0
61,0.0,0.001,0.0,0.0
62,0.0,0.001,0.0,0.0
63,0.0,0.001,0.0,0.0
64,0.0,0.001,0.0,0.0
65,0.0,0.001,0.0,0.0
66,0.0,0.001,0.0,0.0
67,0.0,0.001,0.0,0.0
68,0.0,0.001,0.0,0.0
69,0.0,0.001,0.0,0.0
70,0.0,0.001,0.0,0.0
71,0.0,0.001,0.0,0.0
72,0.0,0.001,0.0,0.0
73,0.0,0.001,0.0,0.0
74,0.0,0.001,0.0,0.0
75,0.0,0.001,0.0,0.0
76,0.0,0.001,0.0,0.0
77,0.0,0.001,0.0,0.0
78,0.0,0.001,0.0,0.0
79,0.0,0.001,0.0,0.0
80,0.0,0.001,0.0,0.0
81,0.0,0.001,0.0,0.0
82,0.0,0.001,0.0,0.0
83,0.0,0.001,0.0,0.0
84,0.0,0.001,0.0,0.0
85,0.0,0.001,0.0,0.0
86,0.0,0.001,0.0,0.0
87,0.0,0.001,0.0,0.0
88,0.0,0.001,0.0,0.0
89,0.0,0.001,0.0,0.0
90,0.0,0.001,0.0,0.0
91,0.0,0.001,0.0,0.0
92,0.0,0.001,0.0,0.0
93,0.0,0.001,0.0,0.0
94,0.0,0.001,0.0,0.0
95,0.0,0.001,0.0,0.0
96,0.0,0.001,0.0,0.0
97,0.0,0.001,0.0,0.0
98,0.0,0.001,0.0,0.0
99,0.0,0.001,0.0,0.0
100,0.0,0.001,0.0,0.0
101,0.0,0.001,0.0,0.0
102,0.0,0.001,0.0,0.0
103,0.0,0.001,0.0,0.0
104,0.0,0.001,0.0,0.0
105,0.0,0.001,0.0,0.0
106,0.0,0.001,0.0,0.0
107,0.0,0.001,0.0,0.0
108,0.0,0.001,0.0,0.0
109,0.0,0.001,0.0,0.0
110,0.0,0.001,0.0,0.0
111,0.0,0.001,0.0,0.0
112,0.0,0.001,0.0,0.0
113,0.0,0.001,0.0,0.0
114,0.0,0.001,0.0,0.0
115,0.0,0.001,0.0,0.0
116,0.0,0.001,0.0,0.0
117,0.0,0.001,0.0,0.0
118,0.0,0.001,0.0,0.0
119,0.0,0.001,0.0,0.0
120,0.0,0.001,0.0,0.0
121,0.0,0.001,0.0,0.0
122,0.0,0.001,0.0,0.0
123,0.0,0.001,0.0,0.0
124,0.0,0.001,0.0,0.0
125,0.0,0.001,0.0,0.0
126,0.0,0.001,0.0,0.0
127,0.0,0.001,0.0,0.0
128,0.0,0.001,0.0,0.0
129,0.0,0.001,0.0,0.0
130,0.0,0.001,0.0,0.0
131,0.0,0.001,0.0,0.0
132,0.0,0.001,0.0,0.0
133,0.0,0.001,0.0,0.0
134,0.0,0.001,0.0,0.0
135,0.0,0.001,0.0,0.0
136,0.0,0.001,0.0,0.0
137,0.0,0.001,0.0,0.0
138,0.0,0.001,0.0,0.0
139,0.0,0.001,0.0,0.0
140,0.0,0.001,0.0,0.0
141,0.0,0.001,0.0,0.0
142,0.0,0.001,0.0,0.0
143,0.0,0.001,0.0,0.0
144,0.0,0.001,0.0,0.0
145,0.0,0.001,0.0,0.0
146,0.0,0.001,0.0,0.0
147,0.0,0.001,0.0,0.0
148,0.0,0.001,0.0,0.0
149,0.0,0.001,0.0,0.0
0,0.0,0.01,20.0,0.8244667037327603
1,0.0,0.01,25.0,0.8263967138575523
2,0.0,0.01,64.0,0.8226565314668911
3,0.0,0.01,165.0,0.8207930873942905
4,0.0,0.01,389.25,0.8199398140085575
5,0.0,0.01,824.0,0.8210956606404836
6,0.0,0.01,1093.5,0.8206420151016599
7,0.0,0.01,819.25,0.8143369116533664
8,0.0,0.01,223.25,0.8225366774402828
9,0.0,0.01,160.5,0.8339965449023102
10,0.0,0.01,78.0,0.8340338705971078
11,0.0,0.01,46.5,0.6237512420628448
12,0.0,0.01,47.0,0.6236509664796479
13,0.0,0.01,40.75,0.6217169203401973
14,0.0,0.01,54.75,0.6231482644623947
15,0.0,0.01,71.25,0.6253793570837416
16,0.0,0.01,86.5,0.6256803275556622
17,0.0,0.01,20.0,0.6257762891554028
18,0.0,0.01,25.5,0.6258856407458067
19,0.0,0.01,41.0,0.6263614300038307
20,0.0,0.01,49.0,0.6267838859526966
21,0.0,0.01,60.25,0.6267838859526963
22,0.0,0.01,24.0,0.42320482217305244
23,0.0,0.01,29.25,0.4232048221730526
24,0.0,0.01,39.5,0.42320482217305255
25,0.0,0.01,37.25,0.4232048221730528
26,0.0,0.01,13.5,0.42320482217305255
27,0.0,0.01,23.75,0.42320482217305244
28,0.0,0.01,1.5,0.21143900038740607
29,0.0,0.01,0.75,0.2114390003874061
30,0.0,0.01,0.75,0.2114390003874061
31,0.0,0.01,0.0,0.0
32,0.0,0.01,0.0,0.0
33,0.0,0.01,0.0,0.0
34,0.0,0.01,0.0,0.0
35,0.0,0.01,0.0,0.0
36,0.0,0.01,0.0,0.0
37,0.0,0.01,0.0,0.0
38,0.0,0.01,0.0,0.0
39,0.0,0.01,0.0,0.0
40,0.0,0.01,0.0,0.0
41,0.0,0.01,0.0,0.0
42,0.0,0.01,0.0,0.0
43,0.0,0.01,0.0,0.0
44,0.0,0.01,0.0,0.0
45,0.0,0.01,0.0,0.0
46,0.0,0.01,0.0,0.0
47,0.0,0.01,0.0,0.0
48,0.0,0.01,0.0,0.0
49,0.0,0.01,0.0,0.0
50,0.0,0.01,0.0,0.0
51,0.0,0.01,0.0,0.0
52,0.0,0.01,0.0,0.0
53,0.0,0.01,0.0,0.0
54,0.0,0.01,0.0,0.0
55,0.0,0.01,0.0,0.0
56,0.0,0.01,0.0,0.0
57,0.0,0.01,0.0,0.0
58,0.0,0.01,0.0,0.0
59,0.0,0.01,0.0,0.0
60,0.0,0.01,0.0,0.0
61,0.0,0.01,0.0,0.0
62,0.0,0.01,0.0,0.0
63,0.0,0.01,0.0,0.0
64,0.0,0.01,0.0,0.0
65,0.0,0.01,0.0,0.0
66,0.0,0.01,0.0,0.0
67,0.0,0.01,0.0,0.0
68,0.0,0.01,0.0,0.0
69,0.0,0.01,0.0,0.0
70,0.0,0.01,0.0,0.0
71,0.0,0.01,0.0,0.0
72,0.0,0.01,0.0,0.0
73,0.0,0.01,0.0,0.0
74,0.0,0.01,0.0,0.0
75,0.0,0.01,0.0,0.0
76,0.0,0.01,0.0,0.0
77,0.0,0.01,0.0,0.0
78,0.0,0.01,0.0,0.0
79,0.0,0.01,0.0,0.0
80,0.0,0.01,0.0,0.0
81,0.0,0.01,0.0,0.0
82,0.0,0.01,0.0,0.0
83,0.0,0.01,0.0,0.0
84,0.0,0.01,0.0,0.0
85,0.0,0.01,0.0,0.0
86,0.0,0.01,0.0,0.0
87,0.0,0.01,0.0,0.0
88,0.0,0.01,0.0,0.0
89,0.0,0.01,0.0,0.0
90,0.0,0.01,0.0,0.0
91,0.0,0.01,0.0,0.0
92,0.0,0.01,0.0,0.0
93,0.0,0.01,0.0,0.0
94,0.0,0.01,0.0,0.0
95,0.0,0.01,0.0,0.0
96,0.0,0.01,0.0,0.0
97,0.0,0.01,0.0,0.0
98,0.0,0.01,0.0,0.0
99,0.0,0.01,0.0,0.0
100,0.0,0.01,0.0,0.0
101,0.0,0.01,0.0,0.0
102,0.0,0.01,0.0,0.0
